Story,OutputCase,CaseType,StepType,StepNumber,Direction,Drift,Label,X,Y,Z
Story16,MODAL,LinModEigen,Mode,6,X,1E-06,53,25.115,13.821,42.4
Story16,MODAL,LinModEigen,Mode,6,Y,2E-06,2,0,6.446,42.4
Story16,MODAL,LinModEigen,Mode,7,X,2E-06,15,27.834,0,42.4
Story16,MODAL,LinModEigen,Mode,8,Y,1E-06,2,0,6.446,42.4
Story16,MODAL,LinModEigen,Mode,9,X,1E-06,53,25.115,13.821,42.4
Story16,MODAL,LinModEigen,Mode,9,Y,2E-06,2,0,6.446,42.4
Story16,MODAL,LinModEigen,Mode,10,X,1.51E-07,15,27.834,0,42.4
Story16,MODAL,LinModEigen,Mode,11,Y,1.636E-07,2,0,6.446,42.4
Story16,MODAL,LinModEigen,Mode,12,X,1.226E-07,53,25.115,13.821,42.4
Story16,MODAL,LinModEigen,Mode,12,Y,1.917E-07,2,0,6.446,42.4
Story16,PP,LinStatic,None,None,Y,0.000101,2,0,6.446,42.4
Story16,TERP,LinStatic,None,None,Y,2.3E-05,2,0,6.446,42.4
Story16,TERT,LinStatic,None,None,Y,1E-06,2,0,6.446,42.4
Story16,SCP,LinStatic,None,None,Y,4.1E-05,2,0,6.446,42.4
Story16,SCT,LinStatic,None,None,Y,1E-06,2,0,6.446,42.4
Story16,SEx,LinRespSpec,Max,None,X,0.000987,15,27.834,0,42.4
Story16,SEx,LinRespSpec,Max,None,Y,0.00094,22,38.505,13.821,42.4
Story16,SEy,LinRespSpec,Max,None,X,0.000177,53,25.115,13.821,42.4
Story16,SEy,LinRespSpec,Max,None,Y,0.001353,2,0,6.446,42.4
Story16,SEx_b2,LinRespSpec,Max,None,X,0.000946,15,27.834,0,42.4
Story16,SEx_b2,LinRespSpec,Max,None,Y,0.000845,22,38.505,13.821,42.4
Story16,SEy_b2,LinRespSpec,Max,None,Y,0.001066,2,0,6.446,42.4
Story16,ED1_C1_1.4CP,Combination,None,None,Y,0.000175,2,0,6.446,42.4
Story16,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,Y,0.000217,2,0,6.446,42.4
Story16,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,Y,0.000194,2,0,6.446,42.4
Story16,ED1_DYN_XP,Combination,Max,None,X,0.001412,15,27.834,0,42.4
Story16,ED1_DYN_XP,Combination,Max,None,Y,0.001283,22,38.505,13.821,42.4
Story16,ED1_DYN_XP,Combination,Min,None,X,0.001353,15,27.834,0,42.4
Story16,ED1_DYN_XP,Combination,Min,None,Y,0.001408,2,0,6.446,42.4
Story16,ED1_DYN_XN,Combination,Max,None,X,0.001412,15,27.834,0,42.4
Story16,ED1_DYN_XN,Combination,Max,None,Y,0.001283,22,38.505,13.821,42.4
Story16,ED1_DYN_XN,Combination,Min,None,X,0.001353,15,27.834,0,42.4
Story16,ED1_DYN_XN,Combination,Min,None,Y,0.001408,2,0,6.446,42.4
Story16,ED1_DYN_YP,Combination,Max,None,X,0.00022,53,25.115,13.821,42.4
Story16,ED1_DYN_YP,Combination,Max,None,Y,0.001703,2,0,6.446,42.4
Story16,ED1_DYN_YP,Combination,Min,None,X,0.000275,53,25.115,13.821,42.4
Story16,ED1_DYN_YP,Combination,Min,None,Y,0.002086,2,0,6.446,42.4
Story16,ED1_DYN_YN,Combination,Max,None,X,0.00022,53,25.115,13.821,42.4
Story16,ED1_DYN_YN,Combination,Max,None,Y,0.001703,2,0,6.446,42.4
Story16,ED1_DYN_YN,Combination,Min,None,X,0.000275,53,25.115,13.821,42.4
Story16,ED1_DYN_YN,Combination,Min,None,Y,0.002086,2,0,6.446,42.4
Story16,ED1_DYN_09_XP,Combination,Max,None,X,0.0014,15,27.834,0,42.4
Story16,ED1_DYN_09_XP,Combination,Max,None,Y,0.001296,22,38.505,13.821,42.4
Story16,ED1_DYN_09_XP,Combination,Min,None,X,0.001365,15,27.834,0,42.4
Story16,ED1_DYN_09_XP,Combination,Min,None,Y,0.001337,22,38.505,13.821,42.4
Story16,ED1_DYN_09_XN,Combination,Max,None,X,0.0014,15,27.834,0,42.4
Story16,ED1_DYN_09_XN,Combination,Max,None,Y,0.001296,22,38.505,13.821,42.4
Story16,ED1_DYN_09_XN,Combination,Min,None,X,0.001365,15,27.834,0,42.4
Story16,ED1_DYN_09_XN,Combination,Min,None,Y,0.001337,22,38.505,13.821,42.4
Story16,ED1_DYN_09_YP,Combination,Max,None,X,0.000231,53,25.115,13.821,42.4
Story16,ED1_DYN_09_YP,Combination,Max,None,Y,0.001782,2,0,6.446,42.4
